"robot_sim.position.x","robot_sim.position.y","robot_sim.position.z"
-3.750308,0.5750011,0.09679846
-3.750312,0.5749997,0.096804
-3.750302,0.5749997,0.09674483
-3.750291,0.5749992,0.09670101
-3.750573,0.5750004,0.09518707
-3.724525,0.5750295,0.04002827
-3.692592,0.5750348,-0.05516317
-3.65089,0.5750316,-0.1875
-3.59836,0.5750315,-0.3538662
-3.544711,0.5750379,-0.4962124
-3.469103,0.5749999,-0.6172252
-3.431305,0.5749998,-0.6735998
-3.416196,0.574982,-0.7108524
-3.415985,0.575,-0.7114927
-3.415985,0.575,-0.7114938
-3.415985,0.575,-0.711495
-3.415985,0.575,-0.7114961
-3.415985,0.575,-0.7114974
-3.415985,0.575,-0.7114986
-3.415985,0.575,-0.7114999
-3.415985,0.575,-0.7115011
-3.415985,0.575,-0.7115025
-3.415985,0.575,-0.7115038
-3.415985,0.575,-0.7115051
-3.415985,0.575,-0.7115064
-3.415985,0.575,-0.7115077
-3.415985,0.575,-0.7115091
-3.415985,0.575,-0.7115105
-3.415985,0.575,-0.7115119
-3.415985,0.575,-0.7115133
-3.415985,0.575,-0.7115146
-3.415985,0.575,-0.7115161
-3.415985,0.575,-0.7115173
-3.415985,0.575,-0.7115186
-3.415985,0.575,-0.7115199
-3.415985,0.575,-0.7115212
-3.415985,0.575,-0.7115225
-3.415985,0.575,-0.7115238
-3.415985,0.575,-0.7115253
-3.415985,0.575,-0.7115267
-3.415985,0.575,-0.7115281
-3.415985,0.575,-0.7115293
-3.41552,0.5750346,-0.6885961
-3.405127,0.5750309,-0.6220597
-3.382393,0.5750317,-0.5233927
-3.354712,0.5750315,-0.3895849
-3.322284,0.5750319,-0.2236748
-3.291443,0.575036,-0.03596773
-3.269703,0.5750321,0.1761174
-3.255539,0.5750332,0.4014308
-3.255836,0.5750373,0.6336135
-3.281004,0.5750371,0.8713618
-3.336635,0.5750352,1.077502
-3.408112,0.5750404,1.232383
-3.510266,0.5750055,1.310134
-3.553057,0.575,1.340917
-3.564547,0.5749922,1.358599
-3.566004,0.575,1.361923
-3.566004,0.575,1.361923
-3.566004,0.575,1.361923
-3.566004,0.575,1.361923
-3.566004,0.575,1.361923
-3.566004,0.575,1.361923
-3.566004,0.575,1.361923
-3.566004,0.575,1.361923
-3.566004,0.575,1.361923
-3.566004,0.575,1.361923
-3.566004,0.575,1.361923
-3.566004,0.575,1.361923
-3.566004,0.575,1.361923
-3.566004,0.575,1.361923
-3.566004,0.575,1.361923
-3.566004,0.575,1.361923
-3.566004,0.575,1.361923
-3.566004,0.575,1.361923
-3.566004,0.575,1.361923
-3.566004,0.575,1.361922
-3.566004,0.575,1.36192
-3.566004,0.575,1.36192
-3.564568,0.5749997,1.362274
-3.506116,0.5750353,1.30219
-3.392009,0.5750319,1.214338
-3.245281,0.5750316,1.107653
-3.058974,0.5750315,0.9738074
-2.833447,0.5750315,0.8122685
-2.56884,0.5750315,0.6228316
-2.276788,0.5750296,0.4086876
-2.002602,0.5750301,0.1876046
-1.7443,0.5750296,-0.06803795
-1.57332,0.5750301,-0.314406
-1.549879,0.5750007,-0.5816799
-1.564216,0.5750268,-0.7445104
-1.608607,0.5750338,-0.7011129
-1.628438,0.5750343,-0.6232262
-1.64104,0.5750444,-0.5711145
-1.644567,0.5749998,-0.5696406
-1.645025,0.5749998,-0.5695947
-1.645055,0.5750005,-0.5695912
-1.644927,0.5750004,-0.5694984
-1.644979,0.5749998,-0.5695435
-1.645052,0.5750015,-0.5696056
-1.645062,0.5750005,-0.5696163
-1.644976,0.5750004,-0.5695485
-1.644947,0.5750004,-0.5695335
-1.644925,0.5750004,-0.5695186
-1.644971,0.5749998,-0.5695568
-1.645047,0.5750015,-0.5696207
-1.645057,0.5750005,-0.5696309
-1.645021,0.5750004,-0.5696065
-1.645066,0.5750003,-0.5696283
-1.645046,0.5750095,-0.569621
-1.64497,0.5750003,-0.569558
-1.644852,0.5750004,-0.5694692
-1.644873,0.5749995,-0.5694844
-1.644943,0.5750002,-0.5695403
-1.644921,0.5750004,-0.5695205
-1.64483,0.5750032,-0.5694535
-1.644839,0.5749999,-0.5694605
-1.644964,0.5749998,-0.5695518
-1.64394,0.5750005,-0.569062
-1.645044,0.575012,-0.4855041
-1.626191,0.5750309,-0.3450736
-1.591435,0.5750313,-0.1478574
-1.549434,0.5750314,0.07690917
-1.498922,0.5750351,0.3429143
-1.461982,0.5750333,0.6093014
-1.449672,0.5750391,0.8746666
-1.471682,0.5750403,1.065558
-1.56016,0.5750396,1.174049
-1.619434,0.5749998,1.217941
-1.641007,0.5749974,1.249014
-1.645165,0.575,1.255008
-1.645165,0.575,1.255008
-1.645165,0.575,1.255008
-1.645165,0.575,1.255008
-1.645165,0.575,1.255008
-1.645165,0.575,1.255008
-1.645165,0.575,1.255008
-1.645165,0.575,1.255008
-1.645165,0.575,1.255008
-1.645165,0.575,1.255008
-1.645165,0.575,1.255008
-1.645165,0.575,1.255008
-1.645165,0.575,1.255008
-1.645165,0.575,1.255008
-1.645165,0.575,1.255008
-1.645165,0.575,1.255008
-1.645165,0.575,1.255008
-1.645165,0.575,1.255008
-1.645165,0.575,1.255008
-1.645165,0.575,1.255008
-1.645165,0.575,1.255008
-1.645165,0.575,1.255008
-1.645165,0.575,1.255008
-1.645165,0.575,1.255008
-1.645165,0.575,1.255008
-1.645165,0.575,1.255008
-1.645165,0.575,1.255008
-1.645165,0.575,1.255008
-1.645298,0.5750005,1.255018
-1.658744,0.5750349,1.224195
-1.727229,0.57503,1.138259
-1.84269,0.575031,1.025552
-1.995804,0.5750313,0.8826669
-2.185183,0.5750314,0.7082237
-2.410429,0.5750314,0.5018194
-2.66763,0.5750315,0.2668742
-2.94365,0.5750328,0.007095209
-3.174561,0.5750359,-0.2369095
-3.367019,0.5750399,-0.4907951
-3.489295,0.5750403,-0.7389806
-3.515261,0.5750401,-0.8732859
-3.415923,0.5750351,-0.9542994
-3.327791,0.5750356,-0.9967237
-3.295368,0.5749997,-1.02209
-3.274072,0.5749902,-1.037645
-3.296107,0.575013,-1.034329
-3.33032,0.5750072,-1.029202
-3.333786,0.5749997,-1.029274
-3.333748,0.5750006,-1.029299
-3.333633,0.574997,-1.029279
-3.333674,0.5749997,-1.029277
-3.333668,0.5750011,-1.02927
-3.333496,0.5750005,-1.029239
-3.333595,0.5749997,-1.029243
-3.333529,0.5749999,-1.029221
-3.333498,0.575004,-1.029205
-3.333508,0.5750004,-1.029194
-3.333523,0.5749998,-1.029181
-3.333574,0.5750038,-1.02918
-3.33344,0.5750005,-1.029153
-3.333457,0.5749998,-1.029147
-3.333409,0.5750006,-1.029128
-3.333512,0.5750012,-1.029136
-3.33336,0.5750005,-1.029113
-3.333353,0.5749996,-1.029113
-3.333416,0.5749997,-1.029125
-3.333268,0.5750005,-1.029077
-3.333326,0.5750003,-1.029058
-3.333349,0.5749963,-1.029034
-3.333311,0.5749998,-1.029001
-3.333262,0.5750006,-1.028967
-3.333251,0.5750005,-1.028938
-3.333309,0.5750003,-1.028919
-3.333333,0.5749963,-1.028895
-3.333295,0.5749998,-1.028862
-3.333247,0.5750006,-1.028828
-3.333236,0.5750005,-1.028799
-3.333376,0.5749997,-1.028824
-3.333343,0.5749997,-1.028813
-3.333303,0.5750006,-1.028836
-3.333144,0.5750005,-1.028847
-3.333254,0.5749963,-1.028894
-3.333216,0.5749998,-1.028917
-3.333222,0.5750005,-1.028934
-3.333099,0.574997,-1.02893
-3.333139,0.5749997,-1.02895
-3.333182,0.5750006,-1.028975
-3.333086,0.5750005,-1.028979
-3.333122,0.5749996,-1.028992
-3.333247,0.5749997,-1.029011
-3.333111,0.575004,-1.02899
-3.333353,0.5750309,-1.024055
-3.334855,0.5750323,-0.9788011
-3.345237,0.5750316,-0.8876864
-3.362169,0.5750315,-0.7502177
-3.384389,0.5750315,-0.5710226
-3.41247,0.5750315,-0.344166
-3.446342,0.5750315,-0.06963769
-3.485743,0.5750315,0.2511017
-3.533209,0.5750315,0.6392723
-3.582303,0.5750341,1.044091
-3.619865,0.575002,1.373924
-3.646376,0.5750238,1.589144
-3.643593,0.575029,1.634899
-3.637516,0.5750307,1.564346
-3.637728,0.5750343,1.467765
-3.629934,0.575036,1.372732
-3.609319,0.5750365,1.280816
-3.577596,0.575031,1.203217
-3.555434,0.5750277,1.14511
-3.549394,0.5749865,1.103784
