"robot_sim.position.x","robot_sim.position.y","robot_sim.position.z"
-3.675852,0.5750594,0.1658069
-3.649451,0.5750449,0.1646475
-3.636881,0.5750448,0.1650158
-3.618232,0.5750446,0.1654153
-3.606928,0.5750342,0.1655549
-3.602793,0.5750445,0.1657287
-3.59905,0.5750332,0.1658127
-3.597196,0.5750127,0.1658579
-3.592872,0.5750425,0.1660485
-3.590966,0.5750327,0.1660844
-3.587439,0.5750067,0.1662196
-3.585599,0.5750419,0.1662443
-3.581792,0.5750077,0.1663937
-3.577865,0.5750422,0.1665234
-3.573655,0.5750448,0.1666459
-3.570107,0.5750416,0.166705
-3.568952,0.5750459,0.1666165
-3.560471,0.5750482,0.166863
-3.548236,0.5750509,0.1668522
-3.543343,0.575043,0.1668024
-3.542469,0.5750434,0.1665886
-3.541656,0.5750481,0.1664211
-3.541069,0.5750304,0.1662632
-3.539809,0.5750423,0.1658503
-3.538851,0.5750431,0.1656687
-3.537877,0.5750467,0.1654682
-3.53699,0.575048,0.1652735
-3.534368,0.5750511,0.16506
-3.527287,0.5750554,0.1644971
-3.516526,0.5750549,0.1636529
-3.508233,0.5750525,0.1624074
-3.505441,0.575053,0.1621989
-3.502617,0.575053,0.1619886
-3.500287,0.5750492,0.1617754
-3.498869,0.5750481,0.1615534
-3.498288,0.5750465,0.1613258
-3.497809,0.5750463,0.1610966
-3.497329,0.5750462,0.1608676
-3.49685,0.5750462,0.160639
-3.490119,0.5750576,0.160143
-3.482951,0.5750301,0.1590782
-3.481417,0.5750463,0.1584643
-3.480938,0.5750463,0.1582349
-3.480484,0.5750537,0.1580226
-3.472544,0.5750566,0.1570787
-3.470495,0.5750462,0.1568529
-3.470015,0.5750463,0.1566244
-3.469535,0.5750462,0.1563958
-3.46908,0.5750536,0.1561842
-3.468602,0.5750462,0.1559576
-3.468122,0.5750462,0.1557294
-3.467642,0.5750462,0.1555015
-3.467135,0.5750462,0.1552613
-3.466681,0.5750522,0.1550512
-3.466202,0.5750462,0.1548262
-3.46593,0.5750011,0.1546218
-3.46591,0.5749997,0.1554407
-3.393505,0.5750347,0.18289
-3.309233,0.575031,0.2264441
-3.212127,0.5750322,0.2724538
-3.128968,0.575031,0.300624
-3.070918,0.5750397,0.3164779
-3.057857,0.5749992,0.3185093
-3.057898,0.5749997,0.3187135
-3.057921,0.5749997,0.3185997
-3.057927,0.5750025,0.3187085
-3.057886,0.5750014,0.3186187
-3.057868,0.5750005,0.318532
-3.057851,0.5750032,0.3184966
-3.057844,0.5749997,0.3185072
-3.05789,0.5749997,0.3186376
-3.057866,0.5749997,0.3185662
-3.057852,0.5750011,0.3186036
-3.057869,0.5750005,0.3185109
-3.057881,0.5749997,0.3186585
-3.057861,0.5749999,0.3186525
-3.057876,0.5750005,0.3185826
-3.057919,0.5749993,0.3186019
-3.057953,0.5749997,0.3186868
-3.057971,0.5749998,0.3187644
-3.057992,0.5750005,0.3186746
-3.058001,0.5750002,0.3186731
-3.058007,0.5749997,0.3187851
-3.057987,0.5750005,0.3186973
-3.057994,0.575003,0.3186608
-3.058014,0.5749997,0.3188142
-3.058019,0.5750003,0.3187993
-3.058006,0.5749998,0.3186812
-3.057992,0.5750004,0.3187615
-3.057974,0.5750005,0.3187116
-3.057978,0.5750005,0.3186184
-3.057957,0.5750017,0.3185867
-3.057979,0.5749997,0.3187669
-3.057981,0.5750005,0.3187064
-3.057971,0.5750005,0.3185852
-3.05797,0.5750016,0.3185675
-3.057967,0.5749999,0.3185943
